episode_return,episode_length,total_steps
0,0,0
-20,20,20
0,10,30
-20,20,50
-20,20,70
-20,20,90
-20,20,110
-20,20,130
-20,20,150
-20,20,170
-20,20,190
-20,20,210
-20,20,230
-20,20,250
-20,20,270
-20,20,290
-20,20,310
3,7,317
5,5,322
-20,20,342
-4,14,356
9,1,357
-20,20,377
-20,20,397
-20,20,417
-2,2,419
-20,20,439
-20,20,459
-20,20,479
7,3,482
6,4,486
-20,20,506
-20,20,526
-20,20,546
-20,20,566
-20,20,586
-20,20,606
-20,20,626
-20,20,646
1,9,655
-20,20,675
-20,20,695
-20,20,715
-20,20,735
-20,20,755
-20,20,775
-20,20,795
-20,20,815
-20,20,835
-20,20,855
-20,20,875
-20,20,895
-20,20,915
-20,20,935
-6,16,951
-18,18,969
-5,15,984
-20,20,1004
-20,20,1024
-20,20,1044
-20,20,1064
-20,20,1084
-20,20,1104
-3,3,1107
-20,20,1127
-20,20,1147
-20,20,1167
-20,20,1187
-20,20,1207
-20,20,1227
-20,20,1247
-20,20,1267
-2,2,1269
-20,20,1289
-20,20,1309
-20,20,1329
-20,20,1349
-20,20,1369
-20,20,1389
-20,20,1409
-20,20,1429
-20,20,1449
-20,20,1469
-6,6,1475
-20,20,1495
-20,20,1515
-20,20,1535
-20,20,1555
-20,20,1575
-20,20,1595
-20,20,1615
7,3,1618
8,2,1620
-20,20,1640
-20,20,1660
-20,20,1680
-20,20,1700
-20,20,1720
-20,20,1740
-20,20,1760
-20,20,1780
-20,20,1800
-20,20,1820
1,9,1829
1,9,1838
-14,14,1852
-20,20,1872
-20,20,1892
-20,20,1912
-20,20,1932
-20,20,1952
-20,20,1972
-20,20,1992
-8,18,2010
-19,19,2029
-20,20,2049
1,9,2058
-20,20,2078
-20,20,2098
-20,20,2118
-20,20,2138
-20,20,2158
-20,20,2178
-20,20,2198
-20,20,2218
-20,20,2238
-20,20,2258
-20,20,2278
-12,12,2290
-20,20,2310
2,8,2318
-20,20,2338
-20,20,2358
-20,20,2378
-20,20,2398
-20,20,2418
-20,20,2438
1,9,2447
-20,20,2467
-20,20,2487
-20,20,2507
-20,20,2527
-20,20,2547
0,10,2557
-20,20,2577
-20,20,2597
4,6,2603
-1,11,2614
-20,20,2634
-20,20,2654
-20,20,2674
-17,17,2691
-20,20,2711
-20,20,2731
-16,16,2747
-20,20,2767
1,9,2776
-20,20,2796
-14,14,2810
-20,20,2830
0,10,2840
-20,20,2860
-20,20,2880
-20,20,2900
-20,20,2920
-20,20,2940
-20,20,2960
3,7,2967
-20,20,2987
-20,20,3007
-20,20,3027
-20,20,3047
-20,20,3067
5,5,3072
2,8,3080
-20,20,3100
-20,20,3120
-20,20,3140
-20,20,3160
-6,16,3176
-20,20,3196
-20,20,3216
-20,20,3236
-20,20,3256
-20,20,3276
-20,20,3296
-20,20,3316
-20,20,3336
-20,20,3356
-20,20,3376
-20,20,3396
-20,20,3416
-20,20,3436
-20,20,3456
-20,20,3476
-20,20,3496
-3,3,3499
-20,20,3519
-20,20,3539
-20,20,3559
-20,20,3579
-20,20,3599
-20,20,3619
-20,20,3639
-20,20,3659
1,9,3668
-20,20,3688
-20,20,3708
-20,20,3728
-20,20,3748
-20,20,3768
-20,20,3788
-20,20,3808
-1,11,3819
-20,20,3839
-20,20,3859
-20,20,3879
-20,20,3899
-20,20,3919
-20,20,3939
-20,20,3959
-20,20,3979
-20,20,3999
-20,20,4019
-20,20,4039
-20,20,4059
-20,20,4079
-20,20,4099
-20,20,4119
-20,20,4139
-20,20,4159
-20,20,4179
-20,20,4199
-20,20,4219
-20,20,4239
-20,20,4259
-20,20,4279
-3,13,4292
-20,20,4312
-20,20,4332
-20,20,4352
-20,20,4372
-20,20,4392
-20,20,4412
-20,20,4432
-20,20,4452
-20,20,4472
-20,20,4492
-20,20,4512
-20,20,4532
-20,20,4552
5,5,4557
-20,20,4577
-20,20,4597
-20,20,4617
-20,20,4637
-20,20,4657
-20,20,4677
-20,20,4697
-1,11,4708
5,5,4713
-20,20,4733
-20,20,4753
-20,20,4773
-20,20,4793
-20,20,4813
-20,20,4833
3,7,4840
-20,20,4860
9,1,4861
-20,20,4881
-20,20,4901
-20,20,4921
6,4,4925
9,1,4926
-20,20,4946
-20,20,4966
5,5,4971
-20,20,4991
8,2,4993
-20,20,5013
-20,20,5033
-20,20,5053
-20,20,5073
-20,20,5093
-20,20,5113
-20,20,5133
-20,20,5153
9,1,5154
-20,20,5174
-20,20,5194
-20,20,5214
-20,20,5234
-20,20,5254
-1,1,5255
-1,11,5266
4,6,5272
-20,20,5292
-12,12,5304
-8,18,5322
-5,15,5337
-20,20,5357
-20,20,5377
3,7,5384
-20,20,5404
-20,20,5424
-20,20,5444
-20,20,5464
-20,20,5484
7,3,5487
5,5,5492
-9,19,5511
-20,20,5531
-20,20,5551
-20,20,5571
-20,20,5591
7,3,5594
-20,20,5614
-20,20,5634
-20,20,5654
-18,18,5672
-2,12,5684
-20,20,5704
9,1,5705
5,5,5710
-8,18,5728
-20,20,5748
-20,20,5768
-20,20,5788
-20,20,5808
-20,20,5828
-20,20,5848
-9,19,5867
-20,20,5887
-20,20,5907
-20,20,5927
-20,20,5947
8,2,5949
-20,20,5969
-20,20,5989
-20,20,6009
-20,20,6029
-20,20,6049
-20,20,6069
-20,20,6089
-20,20,6109
-20,20,6129
-20,20,6149
-20,20,6169
-8,18,6187
-20,20,6207
-5,15,6222
-20,20,6242
-20,20,6262
-20,20,6282
-20,20,6302
-20,20,6322
-20,20,6342
9,1,6343
-20,20,6363
-20,20,6383
-20,20,6403
-20,20,6423
-20,20,6443
-12,12,6455
-5,15,6470
-20,20,6490
-2,12,6502
-20,20,6522
-20,20,6542
-20,20,6562
-3,13,6575
-20,20,6595
-1,1,6596
-20,20,6616
-2,2,6618
-20,20,6638
-20,20,6658
-20,20,6678
-20,20,6698
-20,20,6718
-20,20,6738
8,2,6740
-15,15,6755
-20,20,6775
-20,20,6795
-20,20,6815
-20,20,6835
-20,20,6855
-20,20,6875
-20,20,6895
-20,20,6915
9,1,6916
-20,20,6936
-20,20,6956
8,2,6958
7,3,6961
7,3,6964
-20,20,6984
-20,20,7004
-20,20,7024
-4,14,7038
-20,20,7058
-20,20,7078
-20,20,7098
-20,20,7118
-20,20,7138
-20,20,7158
6,4,7162
-20,20,7182
-20,20,7202
-20,20,7222
-20,20,7242
-20,20,7262
-20,20,7282
-2,12,7294
-20,20,7314
-20,20,7334
-10,10,7344
-20,20,7364
-1,11,7375
-20,20,7395
-20,20,7415
4,6,7421
-20,20,7441
-6,6,7447
-20,20,7467
-20,20,7487
-20,20,7507
-20,20,7527
5,5,7532
-20,20,7552
0,10,7562
-20,20,7582
-20,20,7602
1,9,7611
-20,20,7631
