episode_return,episode_length,total_steps
0,0,0
4,6,6
6,4,10
9,1,11
-18,16,27
-30,20,47
6,4,51
-7,13,64
-6,9,73
-5,11,84
-29,20,104
9,1,105
-31,20,125
9,1,126
-1,9,135
8,2,137
-9,13,150
-21,18,168
-37,20,188
9,1,189
-12,13,202
-23,20,222
6,4,226
-36,20,246
-33,20,266
6,4,270
-10,11,281
-17,16,297
9,1,298
-34,20,318
-39,20,338
-20,18,356
-6,11,367
-11,13,380
-9,12,392
-36,20,412
9,1,413
0,6,419
-21,17,436
-32,20,456
7,3,459
-18,17,476
0,7,483
-3,8,491
2,6,497
4,6,503
-17,20,523
2,6,529
-35,20,549
5,4,553
2,5,558
-3,8,566
8,2,568
-11,12,580
8,2,582
8,2,584
-9,14,598
5,5,603
9,1,604
9,1,605
9,1,606
7,3,609
6,4,613
-3,9,622
-1,8,630
7,3,633
5,5,638
-4,10,648
5,5,653
-11,12,665
0,7,672
9,1,673
7,3,676
8,2,678
-4,10,688
9,1,689
9,1,690
-7,11,701
9,1,702
5,5,707
8,2,709
4,6,715
8,2,717
8,2,719
9,1,720
9,1,721
8,2,723
9,1,724
9,1,725
5,4,729
9,1,730
9,1,731
-40,20,751
5,4,755
3,5,760
9,1,761
8,2,763
6,4,767
9,1,768
9,1,769
1,7,776
9,1,777
9,1,778
8,2,780
7,3,783
-3,13,796
4,4,800
9,1,801
-1,10,811
9,1,812
6,3,815
4,5,820
6,4,824
9,1,825
8,2,827
8,2,829
5,4,833
9,1,834
9,1,835
5,4,839
6,4,843
5,5,848
5,4,852
3,6,858
5,4,862
5,4,866
9,1,867
5,4,871
-3,8,879
4,5,884
4,5,889
6,3,892
4,5,897
5,4,901
4,5,906
4,5,911
4,5,916
4,5,921
9,1,922
5,4,926
3,6,932
6,3,935
9,1,936
9,1,937
9,1,938
7,3,941
6,4,945
9,1,946
3,6,952
6,3,955
6,3,958
6,3,961
6,4,965
6,3,968
5,4,972
5,4,976
5,4,980
7,3,983
6,3,986
6,3,989
4,5,994
6,3,997
5,4,1001
7,3,1004
5,4,1008
6,3,1011
7,3,1014
9,1,1015
9,1,1016
6,3,1019
6,4,1023
6,3,1026
9,1,1027
7,3,1030
6,3,1033
6,3,1036
6,3,1039
6,4,1043
9,1,1044
8,2,1046
6,3,1049
4,5,1054
9,1,1055
4,4,1059
5,4,1063
6,3,1066
7,3,1069
6,3,1072
6,3,1075
6,3,1078
6,4,1082
7,3,1085
6,4,1089
5,4,1093
7,3,1096
9,1,1097
6,3,1100
6,3,1103
7,3,1106
7,3,1109
6,3,1112
9,1,1113
6,3,1116
9,1,1117
6,3,1120
6,3,1123
6,3,1126
5,4,1130
6,3,1133
9,1,1134
5,4,1138
4,4,1142
9,1,1143
6,3,1146
9,1,1147
5,4,1151
6,3,1154
6,3,1157
6,3,1160
6,3,1163
7,3,1166
6,3,1169
6,3,1172
6,3,1175
6,3,1178
6,4,1182
6,3,1185
6,3,1188
6,3,1191
6,3,1194
6,3,1197
6,3,1200
6,3,1203
6,3,1206
5,4,1210
5,4,1214
6,3,1217
7,3,1220
6,3,1223
7,3,1226
6,3,1229
4,5,1234
6,3,1237
7,3,1240
5,4,1244
6,3,1247
9,1,1248
6,3,1251
6,3,1254
9,1,1255
9,1,1256
7,3,1259
9,1,1260
7,3,1263
6,3,1266
9,1,1267
6,3,1270
6,3,1273
