length_up,length_low,length_center,return_up,return_low,return_center
0,0,0.0,0,0,0.0
20,9,14.333333333333334,-9,-20,-14.333333333333334
7,1,3.3333333333333335,8,-1,3.3333333333333335
20,20,20.0,-20,-20,-20.0
20,5,15.0,-5,-20,-15.0
3,1,2.0,8,-1,4.666666666666667
20,4,13.0,6,-20,-6.333333333333333
15,1,6.333333333333333,9,-5,3.6666666666666665
20,1,9.666666666666666,2,-20,-6.333333333333333
20,20,20.0,-20,-20,-20.0
10,2,4.666666666666667,8,-2,2.0
11,1,4.666666666666667,9,-1,5.333333333333333
20,4,14.666666666666666,6,-20,-11.333333333333334
20,2,8.333333333333334,8,-20,-1.6666666666666667
20,1,9.666666666666666,9,-20,-3.0
20,3,9.333333333333334,7,-20,-2.6666666666666665
10,1,7.0,9,-10,-0.3333333333333333
20,3,14.333333333333334,7,-20,-11.0
5,2,3.0,8,5,7.0
2,1,1.6666666666666667,9,8,8.333333333333334
20,4,13.666666666666666,6,-20,-7.0
20,1,10.0,9,-20,-3.3333333333333335
20,1,13.666666666666666,-1,-20,-13.666666666666666
20,1,13.666666666666666,9,-20,-10.333333333333334
20,5,13.0,5,-20,-6.333333333333333
20,5,10.333333333333334,4,-20,-7.0
20,6,11.0,3,-10,-4.333333333333333
20,4,14.666666666666666,6,-20,-11.333333333333334
20,3,9.666666666666666,7,-20,-3.0
11,2,6.333333333333333,8,-1,3.6666666666666665
20,13,17.666666666666668,-3,-20,-14.333333333333334
20,3,8.666666666666666,7,-20,-2.0
13,2,5.666666666666667,8,-3,4.333333333333333
6,1,3.0,8,-1,3.6666666666666665
20,2,9.333333333333334,8,-20,-2.6666666666666665
20,2,10.666666666666666,8,-20,-4.0
20,7,14.333333333333334,3,-20,-7.666666666666667
18,2,11.333333333333334,-2,-14,-8.0
20,2,8.666666666666666,8,-20,-5.333333333333333
18,4,10.0,6,-8,0.0
20,1,9.666666666666666,9,-20,-3.0
20,3,14.333333333333334,7,-20,-11.0
20,4,12.333333333333334,6,-20,-9.0
20,13,17.666666666666668,-3,-20,-14.333333333333334
6,3,4.333333333333333,7,-6,2.3333333333333335
20,1,7.666666666666667,9,-20,-1.0
20,1,7.666666666666667,9,-20,-1.0
20,1,10.666666666666666,9,-20,-4.0
20,6,11.666666666666666,4,-20,-8.333333333333334
20,20,20.0,-20,-20,-20.0
20,3,14.333333333333334,7,-20,-11.0
4,1,3.0,9,-4,3.6666666666666665
9,4,6.666666666666667,6,1,3.3333333333333335
7,1,3.6666666666666665,7,-7,-0.3333333333333333
20,1,7.333333333333333,-1,-20,-7.333333333333333
4,4,4.0,6,6,6.0
4,1,2.0,9,6,8.0
20,20,20.0,-20,-20,-20.0
20,3,11.0,7,-20,-4.333333333333333
20,5,10.333333333333334,5,-20,-3.6666666666666665
5,2,3.0,8,5,7.0
20,2,8.333333333333334,8,-10,1.6666666666666667
15,5,10.333333333333334,5,-5,-0.3333333333333333
10,1,5.0,9,-10,1.6666666666666667
8,1,4.0,9,2,6.0
4,1,2.0,9,-4,4.666666666666667
4,1,2.6666666666666665,9,6,7.333333333333333
2,1,1.6666666666666667,9,8,8.333333333333334
20,7,14.333333333333334,3,-20,-7.666666666666667
20,1,7.666666666666667,9,-20,-1.0
20,1,9.333333333333334,9,-20,-2.6666666666666665
20,4,9.666666666666666,6,-10,-3.0
17,3,8.0,6,-17,-4.666666666666667
8,2,4.0,8,2,6.0
18,7,13.333333333333334,3,-8,-3.3333333333333335
7,2,3.6666666666666665,8,3,6.333333333333333
14,3,7.333333333333333,7,-5,-0.6666666666666666
11,1,6.666666666666667,9,-11,0.0
8,5,6.333333333333333,4,-8,-3.0
20,3,9.333333333333334,7,-20,-2.6666666666666665
9,3,6.666666666666667,7,1,3.3333333333333335
10,1,4.333333333333333,9,-10,-1.0
3,3,3.0,7,-3,3.6666666666666665
11,1,5.333333333333333,9,-1,4.666666666666667
4,2,3.0,8,6,7.0
7,1,3.3333333333333335,9,-2,3.3333333333333335
2,1,1.3333333333333333,9,-1,5.333333333333333
9,3,5.0,7,1,5.0
6,1,2.6666666666666665,9,-1,4.0
4,1,2.6666666666666665,9,6,7.333333333333333
10,1,5.0,0,-4,-1.6666666666666667
6,1,3.0,8,-1,3.6666666666666665
14,1,8.333333333333334,0,-14,-5.0
15,1,6.666666666666667,9,-5,3.3333333333333335
3,1,2.3333333333333335,9,7,7.666666666666667
7,5,6.333333333333333,5,3,3.6666666666666665
7,1,3.0,3,-1,0.3333333333333333
7,2,4.0,8,-7,2.6666666666666665
8,1,3.3333333333333335,2,-1,0.0
9,2,6.0,8,1,4.0
3,2,2.6666666666666665,8,7,7.333333333333333
8,1,3.3333333333333335,9,-1,3.3333333333333335
2,1,1.3333333333333333,9,8,8.666666666666666
2,2,2.0,8,-2,4.666666666666667
3,1,2.0,9,7,8.0
5,1,2.3333333333333335,9,5,7.666666666666667
6,1,3.6666666666666665,9,4,6.333333333333333
5,1,2.6666666666666665,8,-5,0.6666666666666666
12,3,6.333333333333333,7,-4,0.3333333333333333
2,2,2.0,8,-2,4.666666666666667
5,2,4.0,8,-5,2.6666666666666665
6,2,4.333333333333333,8,4,5.666666666666667
8,1,4.0,9,-8,-0.6666666666666666
3,1,1.6666666666666667,9,7,8.333333333333334
5,2,3.3333333333333335,8,-3,3.3333333333333335
5,2,3.6666666666666665,6,-2,3.0
5,1,2.6666666666666665,9,5,7.333333333333333
9,1,4.333333333333333,9,1,5.666666666666667
2,1,1.3333333333333333,9,-1,5.333333333333333
12,2,7.0,8,-12,-0.3333333333333333
7,1,3.3333333333333335,9,3,6.666666666666667
7,1,4.0,9,3,6.0
5,1,3.3333333333333335,9,5,6.666666666666667
6,1,2.6666666666666665,9,4,7.333333333333333
3,2,2.6666666666666665,7,-2,4.0
10,1,4.0,9,0,6.0
2,1,1.3333333333333333,9,-1,5.333333333333333
4,1,2.0,9,-4,4.666666666666667
5,1,3.3333333333333335,9,-4,3.3333333333333335
20,1,8.0,7,-20,-4.666666666666667
1,1,1.0,9,-1,5.666666666666667
4,1,2.3333333333333335,8,-1,4.333333333333333
