episode_return,episode_length,total_steps
0,0,0
-9,9,9
3,7,16
-20,20,36
-5,5,41
-1,1,42
-5,15,57
7,3,60
-20,20,80
-20,20,100
0,10,110
8,2,112
6,4,116
-20,20,136
-20,20,156
5,5,161
0,10,171
-20,20,191
5,5,196
8,2,198
-20,20,218
1,9,227
-20,20,247
-20,20,267
5,5,272
-20,20,292
-10,20,312
-20,20,332
4,6,338
-1,11,349
-3,13,362
7,3,365
-3,13,378
4,6,384
4,6,390
0,10,400
-6,16,416
-14,14,430
8,2,432
6,4,436
9,1,437
-20,20,457
-20,20,477
-3,13,490
7,3,493
9,1,494
-20,20,514
-20,20,534
-9,9,543
-20,20,563
7,3,566
-4,4,570
6,4,574
7,3,577
-20,20,597
6,4,601
6,4,605
-20,20,625
0,10,635
4,6,641
5,5,646
8,2,648
-5,15,663
6,4,667
2,8,675
9,1,676
9,1,677
9,1,678
3,7,685
8,2,687
3,7,694
-5,5,699
-17,17,716
8,2,718
-5,15,733
8,2,735
-4,14,749
2,8,757
4,6,763
7,3,766
2,8,774
-2,2,776
7,3,779
-1,11,790
8,2,792
3,7,799
-1,1,800
7,3,803
9,1,804
7,3,807
-4,4,811
8,2,813
-14,14,827
9,1,828
9,1,829
5,5,834
-1,1,835
7,3,838
2,8,846
3,7,853
8,2,855
-1,1,856
9,1,857
8,2,859
9,1,860
5,5,865
6,4,869
-5,5,874
7,3,877
8,2,879
5,5,884
5,5,889
-8,8,897
7,3,900
8,2,902
6,4,906
5,5,911
7,3,914
8,2,916
3,7,923
8,2,925
3,7,932
6,4,936
9,1,937
7,3,940
9,1,941
9,1,942
9,1,943
5,5,948
-1,1,949
9,1,950
8,2,952
9,1,953
6,4,957
-2,2,959
9,1,960
-3,3,963
9,1,964
9,1,965
-2,12,977
5,5,982
6,4,986
-6,6,992
-20,20,1012
3,7,1019
-9,9,1028
7,3,1031
2,8,1039
-8,8,1047
-15,15,1062
-5,5,1067
-7,7,1074
7,3,1077
-3,3,1080
1,9,1089
8,2,1091
7,3,1094
8,2,1096
9,1,1097
8,2,1099
-3,3,1102
-20,20,1122
-4,4,1126
-5,15,1141
7,3,1144
3,7,1151
1,9,1160
3,7,1167
1,9,1176
8,2,1178
6,4,1182
6,4,1186
9,1,1187
8,2,1189
-1,11,1200
-5,15,1215
7,3,1218
6,4,1222
4,6,1228
-10,10,1238
8,2,1240
-20,20,1260
7,3,1263
7,3,1266
-20,20,1286
5,5,1291
7,3,1294
0,10,1304
8,2,1306
-16,16,1322
6,4,1326
6,4,1330
1,9,1339
-20,20,1359
9,1,1360
-7,17,1377
-2,2,1379
8,2,1381
2,8,1389
-3,13,1402
-5,5,1407
9,1,1408
-1,1,1409
-5,5,1414
7,3,1417
-20,20,1437
8,2,1439
9,1,1440
-1,11,1451
-19,19,1470
8,2,1472
2,8,1480
9,1,1481
-7,7,1488
-7,17,1505
5,5,1510
-1,11,1521
8,2,1523
8,2,1525
-20,20,1545
9,1,1546
9,1,1547
8,2,1549
-7,7,1556
6,4,1560
8,2,1562
9,1,1563
8,2,1565
-3,3,1568
6,4,1572
-20,20,1592
5,5,1597
8,2,1599
5,5,1604
7,3,1607
7,3,1610
-14,14,1624
9,1,1625
-2,2,1627
9,1,1628
-1,1,1629
-20,20,1649
-1,11,1660
8,2,1662
9,1,1663
-6,6,1669
8,2,1671
7,3,1674
9,1,1675
8,2,1677
-7,17,1694
-2,2,1696
8,2,1698
7,3,1701
-2,12,1713
0,10,1723
7,3,1726
6,4,1730
5,5,1735
4,6,1741
6,4,1745
5,5,1750
4,6,1756
-4,4,1760
7,3,1763
6,4,1767
-20,20,1787
6,4,1791
-1,11,1802
3,7,1809
8,2,1811
6,4,1815
8,2,1817
8,2,1819
-1,1,1820
-6,6,1826
-3,13,1839
8,2,1841
4,6,1847
8,2,1849
-8,18,1867
4,6,1873
9,1,1874
5,5,1879
-20,20,1899
-3,13,1912
-10,20,1932
-5,15,1947
9,1,1948
5,5,1953
-9,9,1962
-20,20,1982
8,2,1984
-6,16,2000
9,1,2001
-5,15,2016
3,7,2023
-3,3,2026
-20,20,2046
7,3,2049
-4,14,2063
-20,20,2083
-4,4,2087
6,4,2091
4,6,2097
8,2,2099
-20,20,2119
8,2,2121
-4,14,2135
9,1,2136
7,3,2139
3,7,2146
8,2,2148
6,4,2152
5,5,2157
5,5,2162
8,2,2164
7,3,2167
9,1,2168
8,2,2170
9,1,2171
9,1,2172
8,2,2174
9,1,2175
-13,13,2188
9,1,2189
-1,11,2200
5,5,2205
6,4,2209
1,9,2218
7,3,2221
6,4,2225
9,1,2226
-1,1,2227
9,1,2228
-5,15,2243
-1,11,2254
3,7,2261
5,5,2266
3,7,2273
-4,14,2287
9,1,2288
-2,12,2300
3,7,2307
2,8,2315
-2,12,2327
0,10,2337
6,4,2341
4,6,2347
7,3,2350
-2,12,2362
9,1,2363
-1,1,2364
9,1,2365
5,5,2370
9,1,2371
9,1,2372
6,4,2376
-1,11,2387
7,3,2390
9,1,2391
7,3,2394
-1,1,2395
9,1,2396
5,5,2401
-3,3,2404
8,2,2406
-20,20,2426
-20,20,2446
9,1,2447
-7,17,2464
7,3,2467
-3,3,2470
0,10,2480
6,4,2484
3,7,2491
8,2,2493
9,1,2494
8,2,2496
8,2,2498
-5,5,2503
2,8,2511
9,1,2512
7,3,2515
7,3,2518
8,2,2520
5,5,2525
8,2,2527
9,1,2528
5,5,2533
-20,20,2553
5,5,2558
9,1,2559
1,9,2568
2,8,2576
-1,1,2577
-4,14,2591
3,7,2598
-7,7,2605
6,4,2609
-7,7,2616
9,1,2617
9,1,2618
7,3,2621
-2,12,2633
5,5,2638
9,1,2639
0,10,2649
4,6,2655
-4,4,2659
9,1,2660
8,2,2662
8,2,2664
5,5,2669
9,1,2670
-5,15,2685
-3,3,2688
4,6,2694
8,2,2696
3,7,2703
8,2,2705
9,1,2706
-15,15,2721
3,7,2728
7,3,2731
7,3,2734
5,5,2739
-3,13,2752
0,10,2762
-20,20,2782
-20,20,2802
0,10,2812
-3,3,2815
9,1,2816
2,8,2824
6,4,2828
6,4,2832
9,1,2833
-6,16,2849
7,3,2852
9,1,2853
4,6,2859
-2,2,2861
-1,11,2872
8,2,2874
9,1,2875
9,1,2876
-3,13,2889
0,10,2899
9,1,2900
8,2,2902
3,7,2909
