episode_return,episode_length,total_steps
0,0,0
-100,20,20
-100,20,40
-30,9,49
-75,18,67
-100,20,87
-5,4,91
-100,20,111
-100,20,131
5,2,133
-100,20,153
-100,20,173
-100,20,193
10,1,194
-100,20,214
-100,20,234
-100,20,254
-45,12,266
-100,20,286
-50,13,299
-100,20,319
-25,8,327
-10,5,332
-35,7,339
-30,9,348
-100,20,368
-100,20,388
-60,15,403
-10,5,408
-100,20,428
-100,20,448
-100,20,468
-100,20,488
-100,20,508
-100,20,528
-25,8,536
-100,20,556
10,1,557
-100,20,577
-5,4,581
-55,11,592
-100,20,612
-10,2,614
-100,20,634
-100,20,654
-5,4,658
-45,12,670
-5,4,674
-100,20,694
-70,14,708
-100,20,728
5,2,730
-25,8,738
-5,4,742
-25,8,750
-100,20,770
-100,20,790
-15,6,796
-25,8,804
-10,2,806
-15,6,812
-35,10,822
-45,9,831
-20,7,838
-35,10,848
-15,3,851
-70,14,865
-100,20,885
-35,10,895
5,2,897
-10,2,899
5,2,901
-100,20,921
0,3,924
10,1,925
-5,1,926
-25,5,931
-15,6,937
-25,8,945
5,2,947
-60,15,962
-15,3,965
-20,4,969
-40,11,980
-20,4,984
-10,5,989
-30,9,998
-30,9,1007
-35,10,1017
-45,12,1029
0,3,1032
-5,1,1033
-65,13,1046
-10,5,1051
-15,6,1057
-30,9,1066
-25,8,1074
-20,7,1081
10,1,1082
-25,8,1090
-10,5,1095
-25,8,1103
-10,2,1105
-30,6,1111
-15,6,1117
0,3,1120
-100,20,1140
5,2,1142
5,2,1144
-5,1,1145
10,1,1146
5,2,1148
-30,6,1154
10,1,1155
-5,4,1159
-20,7,1166
5,2,1168
0,3,1171
10,1,1172
-25,8,1180
-10,5,1185
10,1,1186
-5,4,1190
5,2,1192
-20,4,1196
-25,8,1204
10,1,1205
0,3,1208
-10,5,1213
-10,5,1218
-100,20,1238
-30,6,1244
-5,4,1248
0,3,1251
-35,7,1258
5,2,1260
-60,15,1275
-70,17,1292
10,1,1293
-55,14,1307
-15,3,1310
10,1,1311
-40,11,1322
-25,8,1330
5,2,1332
-20,7,1339
-40,11,1350
-25,8,1358
0,3,1361
-30,6,1367
-25,5,1372
0,3,1375
5,2,1377
-5,4,1381
5,2,1383
-70,17,1400
-20,7,1407
-50,13,1420
-20,7,1427
-20,7,1434
-10,2,1436
-15,3,1439
0,3,1442
-15,3,1445
-45,12,1457
-10,5,1462
-10,2,1464
0,3,1467
-10,5,1472
5,2,1474
-15,6,1480
-5,1,1481
-20,7,1488
-15,6,1494
10,1,1495
-15,6,1501
-5,4,1505
10,1,1506
-10,2,1508
10,1,1509
-30,9,1518
-25,8,1526
-50,13,1539
-60,15,1554
-40,11,1565
-15,3,1568
-30,9,1577
-20,7,1584
0,3,1587
5,2,1589
-10,5,1594
-55,11,1605
0,3,1608
-75,18,1626
5,2,1628
-80,19,1647
-15,3,1650
-15,3,1653
-10,5,1658
-5,4,1662
-5,4,1666
-40,11,1677
0,3,1680
-5,4,1684
-55,14,1698
-45,12,1710
-100,20,1730
10,1,1731
-15,6,1737
-25,8,1745
0,3,1748
5,2,1750
-100,20,1770
-45,12,1782
-60,15,1797
-100,20,1817
-5,4,1821
-30,9,1830
5,2,1832
0,3,1835
-25,8,1843
10,1,1844
-25,8,1852
-60,12,1864
0,3,1867
5,2,1869
-20,7,1876
-5,1,1877
-40,11,1888
0,3,1891
-40,11,1902
-100,20,1922
-10,5,1927
-55,11,1938
-100,20,1958
-5,4,1962
-70,17,1979
-80,19,1998
-55,14,2012
-10,5,2017
-100,20,2037
-55,11,2048
-15,6,2054
-10,2,2056
0,3,2059
-100,20,2079
-5,4,2083
-35,10,2093
5,2,2095
-25,8,2103
-10,5,2108
-10,2,2110
-10,5,2115
-50,13,2128
-60,15,2143
-10,5,2148
0,3,2151
-40,8,2159
-85,20,2179
-100,20,2199
-25,8,2207
-5,4,2211
-10,5,2216
-35,10,2226
-25,8,2234
10,1,2235
10,1,2236
-5,4,2240
5,2,2242
-60,15,2257
0,3,2260
-10,2,2262
-45,12,2274
-100,20,2294
-5,4,2298
10,1,2299
-55,14,2313
-35,10,2323
-100,20,2343
-15,6,2349
-40,11,2360
-45,12,2372
-100,20,2392
-10,5,2397
0,3,2400
-70,17,2417
-25,8,2425
-75,18,2443
-15,6,2449
10,1,2450
-100,20,2470
-100,20,2490
-15,6,2496
-95,19,2515
-35,10,2525
0,3,2528
-50,13,2541
-5,4,2545
-100,20,2565
-55,14,2579
-20,7,2586
5,2,2588
-5,4,2592
-85,17,2609
10,1,2610
-100,20,2630
5,2,2632
10,1,2633
0,3,2636
-10,5,2641
-5,4,2645
-100,20,2665
-50,13,2678
-100,20,2698
-40,11,2709
-60,15,2724
-100,20,2744
-15,6,2750
-75,18,2768
10,1,2769
-100,20,2789
-40,8,2797
-100,20,2817
10,1,2818
-40,11,2829
-25,8,2837
-100,20,2857
-30,9,2866
5,2,2868
-55,14,2882
-65,16,2898
-65,16,2914
-40,11,2925
-30,9,2934
-25,5,2939
-75,18,2957
-45,12,2969
-30,9,2978
-85,20,2998
-55,14,3012
-15,3,3015
5,2,3017
-100,20,3037
5,2,3039
-100,20,3059
-30,9,3068
-35,10,3078
-65,16,3094
5,2,3096
-40,11,3107
-100,20,3127
-65,13,3140
-15,6,3146
-30,9,3155
-15,6,3161
5,2,3163
-5,4,3167
-15,6,3173
-5,4,3177
-60,15,3192
-30,6,3198
-20,7,3205
-5,4,3209
10,1,3210
10,1,3211
10,1,3212
-55,14,3226
0,3,3229
-40,11,3240
-65,16,3256
-100,20,3276
-35,10,3286
0,3,3289
-35,10,3299
-40,11,3310
-25,8,3318
-5,4,3322
-5,4,3326
-80,19,3345
-30,9,3354
0,3,3357
-15,6,3363
-25,8,3371
-30,9,3380
-15,6,3386
-100,20,3406
-25,8,3414
-45,12,3426
5,2,3428
-40,11,3439
-100,20,3459
5,2,3461
-65,16,3477
-100,20,3497
-15,6,3503
-100,20,3523
-5,4,3527
5,2,3529
-5,1,3530
5,2,3532
-50,13,3545
-45,12,3557
-5,4,3561
5,2,3563
-100,20,3583
-5,4,3587
-30,9,3596
-65,16,3612
0,3,3615
10,1,3616
0,3,3619
0,3,3622
-40,11,3633
10,1,3634
5,2,3636
-75,15,3651
-25,8,3659
-70,17,3676
10,1,3677
-100,20,3697
-100,20,3717
10,1,3718
10,1,3719
-100,20,3739
10,1,3740
10,1,3741
-40,8,3749
-25,8,3757
-55,14,3771
5,2,3773
-85,20,3793
10,1,3794
-30,9,3803
-35,7,3810
-100,20,3830
10,1,3831
0,3,3834
0,3,3837
-70,17,3854
0,3,3857
10,1,3858
-40,11,3869
-30,9,3878
-65,16,3894
-60,15,3909
-60,15,3924
-15,6,3930
-45,12,3942
0,3,3945
-100,20,3965
-100,20,3985
-10,5,3990
-20,7,3997
-5,4,4001
10,1,4002
-100,20,4022
0,3,4025
0,3,4028
10,1,4029
0,3,4032
-20,7,4039
-100,20,4059
-70,17,4076
5,2,4078
-25,8,4086
10,1,4087
0,3,4090
-20,7,4097
-55,14,4111
-30,9,4120
-20,7,4127
-65,16,4143
10,1,4144
-25,8,4152
-45,12,4164
-10,5,4169
-20,7,4176
-20,7,4183
-60,15,4198
-10,5,4203
10,1,4204
5,2,4206
-40,8,4214
10,1,4215
-15,6,4221
0,3,4224
-60,15,4239
-10,2,4241
10,1,4242
-20,7,4249
10,1,4250
-40,11,4261
-20,7,4268
-25,5,4273
-20,7,4280
-40,11,4291
-20,7,4298
-40,11,4309
-15,6,4315
-5,4,4319
-50,13,4332
5,2,4334
-85,20,4354
-45,9,4363
-20,7,4370
-85,17,4387
-40,11,4398
-60,12,4410
-80,19,4429
-5,4,4433
10,1,4434
-65,16,4450
-100,20,4470
10,1,4471
-75,18,4489
-20,7,4496
5,2,4498
-70,14,4512
-10,5,4517
-5,4,4521
-15,6,4527
-45,12,4539
5,2,4541
0,3,4544
-100,20,4564
0,3,4567
-15,6,4573
-25,8,4581
-100,20,4601
-35,10,4611
5,2,4613
-50,13,4626
-85,20,4646
-20,7,4653
-55,11,4664
5,2,4666
-10,5,4671
-100,20,4691
-100,20,4711
10,1,4712
-20,7,4719
-100,20,4739
-25,8,4747
-65,16,4763
-55,14,4777
0,3,4780
10,1,4781
-45,12,4793
-80,19,4812
-25,8,4820
-30,9,4829
-25,8,4837
-55,14,4851
-45,12,4863
-80,19,4882
-40,11,4893
-15,6,4899
0,3,4902
-100,20,4922
-40,8,4930
-25,8,4938
-20,7,4945
10,1,4946
10,1,4947
5,2,4949
-15,6,4955
-65,16,4971
10,1,4972
-5,4,4976
-100,20,4996
-5,4,5000
-100,20,5020
-40,8,5028
5,2,5030
-50,10,5040
5,2,5042
-100,20,5062
-10,2,5064
10,1,5065
-35,10,5075
0,3,5078
-60,15,5093
-30,9,5102
-15,6,5108
-35,7,5115
-90,18,5133
5,2,5135
5,2,5137
5,2,5139
5,2,5141
5,2,5143
-80,16,5159
-30,9,5168
0,3,5171
-55,14,5185
-5,4,5189
-5,4,5193
5,2,5195
-20,7,5202
-20,7,5209
-15,6,5215
0,3,5218
0,3,5221
-55,14,5235
-40,11,5246
-25,8,5254
-75,18,5272
10,1,5273
-100,20,5293
-20,7,5300
-50,13,5313
-100,20,5333
-10,5,5338
-75,18,5356
-75,18,5374
0,3,5377
0,3,5380
0,3,5383
-20,7,5390
-30,6,5396
-20,7,5403
10,1,5404
-10,5,5409
-40,8,5417
10,1,5418
-45,12,5430
10,1,5431
-100,20,5451
-95,19,5470
10,1,5471
10,1,5472
-5,4,5476
-20,7,5483
10,1,5484
-15,3,5487
-40,11,5498
5,2,5500
-30,9,5509
5,2,5511
-15,6,5517
-70,17,5534
0,3,5537
-70,14,5551
-5,4,5555
-100,20,5575
10,1,5576
-20,7,5583
0,3,5586
5,2,5588
0,3,5591
0,3,5594
-25,8,5602
-50,13,5615
-20,7,5622
5,2,5624
-100,20,5644
10,1,5645
-20,7,5652
-35,10,5662
-45,12,5674
5,2,5676
-10,2,5678
10,1,5679
-55,14,5693
-10,2,5695
10,1,5696
-60,15,5711
10,1,5712
-20,7,5719
10,1,5720
10,1,5721
-30,9,5730
-15,6,5736
-30,9,5745
-100,20,5765
5,2,5767
-100,20,5787
5,2,5789
-35,10,5799
-30,9,5808
-25,8,5816
0,3,5819
-50,10,5829
5,2,5831
-35,10,5841
-55,14,5855
0,3,5858
-25,8,5866
-50,13,5879
-15,6,5885
0,3,5888
10,1,5889
-10,2,5891
-25,8,5899
-100,20,5919
-30,6,5925
0,3,5928
-45,9,5937
-5,1,5938
10,1,5939
10,1,5940
-100,20,5960
-20,7,5967
-100,20,5987
-5,4,5991
-60,15,6006
5,2,6008
-35,10,6018
0,3,6021
-70,17,6038
-100,20,6058
-100,20,6078
-5,4,6082
0,3,6085
-15,6,6091
-70,17,6108
-100,20,6128
0,3,6131
10,1,6132
10,1,6133
-20,7,6140
-15,6,6146
0,3,6149
-100,20,6169
-100,20,6189
10,1,6190
-30,9,6199
-25,8,6207
0,3,6210
-25,8,6218
-5,4,6222
-40,8,6230
-15,6,6236
-20,7,6243
10,1,6244
-35,10,6254
5,2,6256
-100,20,6276
-80,19,6295
-50,13,6308
