episodic_return,episode_length,total_steps
0,0,0
7,5,5
0,0,5
-3,20,25
0,0,25
11,1,26
0,0,26
11,1,27
0,0,27
-20,20,47
0,0,47
3,11,58
0,0,58
-19,20,78
0,0,78
10,1,79
0,0,79
10,1,80
0,0,80
-20,20,100
0,0,100
11,2,102
0,0,102
-20,20,122
0,0,122
-20,20,142
0,0,142
10,1,143
0,0,143
10,1,144
0,0,144
-18,20,164
0,0,164
-20,20,184
0,0,184
-20,20,204
0,0,204
-20,20,224
0,0,224
9,3,227
0,0,227
-20,20,247
0,0,247
9,3,250
0,0,250
9,3,253
0,0,253
11,1,254
0,0,254
10,1,255
0,0,255
8,5,260
0,0,260
10,1,261
0,0,261
10,3,264
0,0,264
9,3,267
0,0,267
-19,20,287
0,0,287
-20,20,307
0,0,307
11,1,308
0,0,308
10,1,309
0,0,309
-20,20,329
0,0,329
8,4,333
0,0,333
10,1,334
0,0,334
8,6,340
0,0,340
10,1,341
0,0,341
9,3,344
0,0,344
-19,20,364
0,0,364
-20,20,384
0,0,384
-17,20,404
0,0,404
-18,20,424
0,0,424
10,1,425
0,0,425
9,3,428
0,0,428
10,3,431
0,0,431
10,1,432
0,0,432
-19,20,452
0,0,452
9,3,455
0,0,455
10,4,459
0,0,459
9,3,462
0,0,462
-19,20,482
0,0,482
-17,20,502
0,0,502
-20,20,522
0,0,522
10,1,523
0,0,523
10,1,524
0,0,524
-20,20,544
0,0,544
-19,20,564
0,0,564
-20,20,584
0,0,584
-20,20,604
0,0,604
-20,20,624
0,0,624
9,3,627
0,0,627
11,1,628
0,0,628
9,3,631
0,0,631
10,3,634
0,0,634
-16,20,654
0,0,654
10,3,657
0,0,657
10,1,658
0,0,658
10,3,661
0,0,661
11,3,664
0,0,664
10,3,667
0,0,667
9,3,670
0,0,670
-20,20,690
0,0,690
10,1,691
0,0,691
7,7,698
0,0,698
-18,20,718
0,0,718
10,2,720
0,0,720
11,3,723
0,0,723
10,2,725
0,0,725
-16,20,745
0,0,745
9,3,748
0,0,748
-20,20,768
0,0,768
10,1,769
0,0,769
-20,20,789
0,0,789
-20,20,809
0,0,809
-20,20,829
0,0,829
10,1,830
0,0,830
10,3,833
0,0,833
10,1,834
0,0,834
10,3,837
0,0,837
-18,20,857
0,0,857
10,1,858
0,0,858
10,1,859
0,0,859
-20,20,879
0,0,879
-20,20,899
0,0,899
-20,20,919
0,0,919
-20,20,939
0,0,939
-20,20,959
0,0,959
6,6,965
0,0,965
-20,20,985
0,0,985
-20,20,1005
0,0,1005
7,7,1012
0,0,1012
10,1,1013
0,0,1013
-18,20,1033
0,0,1033
-20,20,1053
0,0,1053
11,3,1056
0,0,1056
-19,20,1076
0,0,1076
-20,20,1096
0,0,1096
-18,20,1116
0,0,1116
7,5,1121
0,0,1121
-20,20,1141
0,0,1141
-20,20,1161
0,0,1161
10,3,1164
0,0,1164
10,3,1167
0,0,1167
-20,20,1187
0,0,1187
-20,20,1207
0,0,1207
-20,20,1227
0,0,1227
-20,20,1247
0,0,1247
10,1,1248
0,0,1248
-20,20,1268
0,0,1268
-18,20,1288
0,0,1288
7,5,1293
0,0,1293
10,3,1296
0,0,1296
4,9,1305
0,0,1305
10,1,1306
0,0,1306
9,3,1309
0,0,1309
11,1,1310
0,0,1310
11,1,1311
0,0,1311
10,3,1314
0,0,1314
11,1,1315
0,0,1315
-20,20,1335
0,0,1335
10,3,1338
0,0,1338
-18,20,1358
0,0,1358
-19,20,1378
0,0,1378
-20,20,1398
0,0,1398
10,1,1399
0,0,1399
-18,20,1419
0,0,1419
8,5,1424
0,0,1424
10,1,1425
0,0,1425
9,3,1428
0,0,1428
10,1,1429
0,0,1429
-20,20,1449
0,0,1449
11,1,1450
0,0,1450
-20,20,1470
0,0,1470
10,3,1473
0,0,1473
-19,20,1493
0,0,1493
-15,20,1513
0,0,1513
10,1,1514
0,0,1514
9,3,1517
0,0,1517
5,8,1525
0,0,1525
-20,20,1545
0,0,1545
6,7,1552
0,0,1552
-17,20,1572
0,0,1572
6,11,1583
0,0,1583
-20,20,1603
0,0,1603
-20,20,1623
0,0,1623
-20,20,1643
0,0,1643
7,5,1648
0,0,1648
-20,20,1668
0,0,1668
9,3,1671
0,0,1671
-20,20,1691
0,0,1691
-20,20,1711
0,0,1711
10,3,1714
0,0,1714
-20,20,1734
0,0,1734
-19,20,1754
0,0,1754
-20,20,1774
0,0,1774
11,4,1778
0,0,1778
10,3,1781
0,0,1781
10,3,1784
0,0,1784
10,1,1785
0,0,1785
10,1,1786
0,0,1786
9,3,1789
0,0,1789
-20,20,1809
0,0,1809
-18,20,1829
0,0,1829
10,3,1832
0,0,1832
10,1,1833
0,0,1833
-17,20,1853
0,0,1853
10,1,1854
0,0,1854
10,1,1855
0,0,1855
-5,18,1873
0,0,1873
10,1,1874
0,0,1874
10,3,1877
0,0,1877
6,6,1883
0,0,1883
-20,20,1903
0,0,1903
-20,20,1923
0,0,1923
-19,20,1943
0,0,1943
-19,20,1963
0,0,1963
-20,20,1983
0,0,1983
9,3,1986
0,0,1986
-16,20,2006
0,0,2006
9,5,2011
0,0,2011
-19,20,2031
0,0,2031
-20,20,2051
0,0,2051
10,3,2054
0,0,2054
10,1,2055
0,0,2055
-19,20,2075
0,0,2075
-20,20,2095
0,0,2095
-20,20,2115
0,0,2115
-20,20,2135
0,0,2135
10,1,2136
0,0,2136
