episodic_return,episode_length,total_steps
0,0,0
-5,2,2
-19,20,22
-5,2,24
-5,1,25
-7,4,29
-5,1,30
-7,5,35
-8,5,40
-11,8,48
-19,20,68
-6,3,71
-18,15,86
-5,1,87
-5,1,88
-5,1,89
-6,3,92
-5,1,93
16,8,101
-9,6,107
-6,4,111
-5,1,112
-16,13,125
-19,20,145
19,4,149
-7,4,153
-5,1,154
-6,3,157
-5,1,158
-5,1,159
-11,9,168
-7,4,172
-7,4,176
-5,1,177
-7,5,182
-5,1,183
19,4,187
-5,1,188
-19,20,208
-5,3,211
-10,8,219
20,1,220
21,1,221
-9,6,227
-8,5,232
20,4,236
-6,4,240
19,5,245
-5,1,246
-5,2,248
21,3,251
-5,2,253
-5,1,254
-14,11,265
21,1,266
21,1,267
-5,1,268
-5,1,269
21,1,270
19,6,276
21,1,277
17,9,286
-10,8,294
-5,1,295
21,1,296
21,1,297
-5,1,298
-5,1,299
21,1,300
-5,1,301
20,1,302
-14,12,314
-5,1,315
19,4,319
20,4,323
-5,1,324
-5,1,325
-5,1,326
21,2,328
-5,1,329
20,4,333
-5,1,334
-5,1,335
-5,1,336
21,1,337
-5,1,338
-5,1,339
21,1,340
-7,4,344
-19,16,360
-9,6,366
-5,1,367
21,1,368
21,2,370
-5,1,371
-5,1,372
-5,2,374
-5,1,375
21,1,376
-5,1,377
21,1,378
21,2,380
-5,1,381
18,6,387
21,1,388
-12,10,398
-19,20,418
20,1,419
-5,1,420
-11,8,428
-5,1,429
-6,3,432
-9,6,438
-5,1,439
-5,1,440
21,1,441
21,1,442
-5,1,443
21,1,444
20,4,448
-6,3,451
-20,18,469
21,1,470
-5,2,472
8,15,487
-6,3,490
-5,2,492
21,1,493
-8,5,498
21,1,499
21,2,501
21,1,502
21,2,504
21,1,505
-5,1,506
21,1,507
-19,20,527
21,1,528
-10,7,535
21,1,536
21,1,537
19,4,541
21,1,542
21,1,543
21,1,544
-10,7,551
-9,7,558
-19,20,578
-7,4,582
-17,20,602
12,11,613
-5,1,614
-6,4,618
21,1,619
16,7,626
20,3,629
-5,2,631
21,1,632
16,7,639
-9,7,646
21,1,647
21,1,648
-9,6,654
-5,2,656
-13,10,666
21,1,667
20,3,670
-5,1,671
-5,1,672
-6,3,675
-14,13,688
20,3,691
21,1,692
20,3,695
21,1,696
8,15,711
-19,18,729
21,1,730
18,5,735
21,1,736
-5,1,737
-5,1,738
-5,1,739
-5,1,740
21,1,741
21,1,742
21,1,743
20,3,746
21,1,747
-13,12,759
-5,1,760
21,1,761
21,1,762
21,1,763
19,5,768
21,1,769
21,1,770
-6,3,773
21,1,774
-17,14,788
21,1,789
21,1,790
21,1,791
21,2,793
21,1,794
21,1,795
21,1,796
-5,1,797
-5,1,798
-13,13,811
-16,20,831
20,3,834
21,1,835
-19,20,855
-5,1,856
21,1,857
18,5,862
-7,5,867
-18,20,887
21,1,888
21,1,889
-5,1,890
21,1,891
-6,4,895
-5,1,896
-7,5,901
21,1,902
-6,3,905
21,1,906
21,1,907
21,1,908
21,1,909
21,1,910
21,1,911
21,1,912
21,1,913
21,1,914
-7,4,918
21,1,919
20,3,922
21,1,923
-11,9,932
21,1,933
21,1,934
21,1,935
21,1,936
21,1,937
21,1,938
-19,20,958
4,19,977
-5,1,978
21,1,979
-5,1,980
21,1,981
21,1,982
21,1,983
-5,1,984
21,1,985
-5,1,986
21,1,987
-5,1,988
21,1,989
21,1,990
-19,20,1010
20,1,1011
21,1,1012
-5,1,1013
21,1,1014
20,1,1015
21,1,1016
-9,7,1023
21,1,1024
21,1,1025
21,1,1026
-5,1,1027
-5,1,1028
-19,20,1048
20,1,1049
21,1,1050
-5,1,1051
21,1,1052
21,1,1053
21,1,1054
-19,17,1071
21,1,1072
21,1,1073
21,1,1074
20,1,1075
21,1,1076
-5,1,1077
21,1,1078
21,1,1079
-8,5,1084
21,1,1085
21,1,1086
21,1,1087
21,1,1088
21,1,1089
21,1,1090
21,1,1091
20,1,1092
20,1,1093
-19,20,1113
21,1,1114
21,1,1115
21,1,1116
21,1,1117
21,1,1118
20,1,1119
-5,1,1120
21,1,1121
21,1,1122
21,1,1123
-16,20,1143
21,1,1144
21,1,1145
21,1,1146
21,1,1147
-5,1,1148
-5,1,1149
21,1,1150
20,3,1153
21,1,1154
21,1,1155
21,1,1156
-5,1,1157
21,1,1158
21,1,1159
21,1,1160
-5,2,1162
21,1,1163
-5,1,1164
-5,1,1165
-11,9,1174
-5,1,1175
-5,1,1176
21,1,1177
21,1,1178
21,1,1179
21,1,1180
20,1,1181
21,1,1182
-5,1,1183
-5,1,1184
21,1,1185
21,1,1186
21,1,1187
21,1,1188
21,1,1189
21,1,1190
-5,1,1191
21,1,1192
-5,1,1193
-5,1,1194
21,1,1195
21,1,1196
21,1,1197
21,1,1198
-19,20,1218
21,1,1219
-19,20,1239
21,1,1240
-19,20,1260
21,1,1261
-19,20,1281
21,1,1282
-5,1,1283
-5,1,1284
21,1,1285
-19,20,1305
21,1,1306
21,1,1307
21,1,1308
21,1,1309
20,1,1310
-19,20,1330
21,1,1331
-19,20,1351
21,1,1352
21,1,1353
20,3,1356
20,1,1357
21,1,1358
-19,20,1378
20,3,1381
21,1,1382
21,1,1383
-19,20,1403
21,1,1404
21,1,1405
21,1,1406
20,3,1409
21,1,1410
21,1,1411
21,1,1412
21,1,1413
19,4,1417
21,1,1418
21,1,1419
-5,1,1420
21,1,1421
-19,20,1441
-5,1,1442
-5,1,1443
21,1,1444
21,1,1445
21,1,1446
-13,11,1457
6,19,1476
-11,10,1486
21,1,1487
21,1,1488
21,1,1489
21,1,1490
21,1,1491
-5,1,1492
-5,1,1493
21,1,1494
21,1,1495
-13,11,1506
21,1,1507
21,1,1508
-5,1,1509
21,1,1510
21,1,1511
21,1,1512
-7,4,1516
21,1,1517
21,1,1518
-5,1,1519
21,1,1520
21,1,1521
21,1,1522
21,1,1523
21,1,1524
-5,1,1525
21,1,1526
21,1,1527
21,1,1528
21,1,1529
21,1,1530
20,1,1531
21,1,1532
21,1,1533
20,3,1536
-16,20,1556
21,1,1557
21,1,1558
20,1,1559
21,1,1560
21,1,1561
21,1,1562
-7,5,1567
-5,1,1568
21,1,1569
21,1,1570
20,1,1571
-6,3,1574
-5,1,1575
21,1,1576
-19,20,1596
-13,13,1609
-18,20,1629
21,1,1630
-7,5,1635
20,1,1636
21,1,1637
21,1,1638
20,1,1639
21,1,1640
21,1,1641
21,1,1642
-13,10,1652
21,1,1653
-16,20,1673
-8,5,1678
21,1,1679
21,1,1680
21,1,1681
20,1,1682
21,1,1683
21,1,1684
-5,1,1685
21,1,1686
-5,1,1687
21,1,1688
21,1,1689
21,1,1690
-8,5,1695
-5,1,1696
21,1,1697
21,1,1698
-10,7,1705
21,1,1706
-5,1,1707
21,1,1708
21,1,1709
21,1,1710
21,1,1711
21,1,1712
21,1,1713
21,1,1714
-9,6,1720
21,1,1721
21,1,1722
21,1,1723
21,1,1724
21,1,1725
21,1,1726
21,1,1727
21,1,1728
20,1,1729
21,1,1730
21,1,1731
21,1,1732
21,1,1733
19,4,1737
21,1,1738
-6,3,1741
21,1,1742
21,1,1743
21,1,1744
-5,2,1746
-8,6,1752
21,1,1753
21,1,1754
-16,13,1767
20,1,1768
21,1,1769
21,1,1770
21,1,1771
-16,14,1785
-18,20,1805
-11,8,1813
21,1,1814
21,1,1815
-19,20,1835
-16,13,1848
21,1,1849
21,1,1850
20,1,1851
20,1,1852
-6,3,1855
-5,1,1856
-21,18,1874
21,1,1875
21,1,1876
