episodic_return,episode_length,total_steps
0,0,0
-11,9,9
-8,5,14
-9,6,20
-7,4,24
-5,1,25
-5,2,27
-18,16,43
-5,1,44
-7,4,48
-5,2,50
-5,2,52
-6,3,55
-10,7,62
-19,20,82
-18,20,102
-5,1,103
-10,7,110
-8,6,116
-12,12,128
-5,1,129
-18,20,149
-8,5,154
-8,5,159
-5,2,161
-17,15,176
-5,1,177
-5,1,178
-18,20,198
-9,7,205
-9,6,211
-5,2,213
-6,3,216
-11,9,225
-5,1,226
-18,20,246
-18,20,266
-6,3,269
-16,13,282
-19,16,298
-9,6,304
-18,20,324
-17,20,344
-19,20,364
-12,9,373
-19,20,393
-8,6,399
-19,20,419
-8,5,424
-5,2,426
-18,20,446
-5,2,448
-8,5,453
-9,6,459
-19,20,479
-5,1,480
-12,9,489
-8,5,494
-19,20,514
-18,20,534
-14,11,545
-19,20,565
-7,4,569
-19,20,589
-5,1,590
-19,20,610
-19,20,630
-19,20,650
-18,20,670
-17,20,690
-5,2,692
-8,6,698
-19,20,718
-9,6,724
-18,20,744
-17,20,764
-7,5,769
-18,20,789
-6,3,792
-18,20,812
-19,20,832
-15,20,852
-12,9,861
-17,20,881
-17,20,901
-18,20,921
-23,20,941
-6,3,944
-7,6,950
-19,20,970
-5,2,972
-16,15,987
-19,20,1007
-9,6,1013
-18,20,1033
-9,8,1041
-8,7,1048
-18,20,1068
-6,3,1071
-5,1,1072
-18,15,1087
-19,17,1104
-5,1,1105
-8,6,1111
-7,4,1115
-18,15,1130
-5,1,1131
-10,8,1139
-12,9,1148
-5,1,1149
-13,10,1159
21,2,1161
-18,20,1181
-8,6,1187
-5,1,1188
-5,1,1189
-5,1,1190
-16,20,1210
-8,5,1215
-5,2,1217
-9,7,1224
-5,2,1226
-19,20,1246
-8,5,1251
21,2,1253
-6,3,1256
-5,2,1258
-12,9,1267
-10,8,1275
-8,5,1280
-7,5,1285
-6,3,1288
21,1,1289
-6,3,1292
-5,1,1293
-5,1,1294
-5,1,1295
-8,5,1300
-5,2,1302
-19,20,1322
-19,20,1342
21,2,1344
-5,1,1345
-5,3,1348
21,1,1349
-5,1,1350
-6,3,1353
-6,3,1356
-6,3,1359
-5,1,1360
21,1,1361
-19,20,1381
21,1,1382
-11,8,1390
-5,2,1392
-19,20,1412
21,1,1413
-5,1,1414
21,1,1415
-19,20,1435
-19,20,1455
-5,1,1456
21,1,1457
-5,2,1459
21,1,1460
-18,20,1480
-19,20,1500
21,2,1502
-5,1,1503
-19,20,1523
-5,1,1524
-5,1,1525
-7,4,1529
21,1,1530
-5,1,1531
21,1,1532
-18,20,1552
-20,17,1569
21,1,1570
-19,20,1590
21,3,1593
21,2,1595
-5,1,1596
-5,1,1597
-18,20,1617
21,1,1618
-19,20,1638
21,1,1639
21,1,1640
-5,1,1641
-5,1,1642
21,1,1643
21,1,1644
-5,1,1645
21,2,1647
-19,20,1667
-19,20,1687
-5,1,1688
-5,1,1689
-8,5,1694
-5,1,1695
21,1,1696
-5,1,1697
-19,20,1717
20,1,1718
-19,20,1738
-19,20,1758
-19,20,1778
-19,20,1798
20,1,1799
21,1,1800
21,1,1801
21,1,1802
-5,1,1803
-19,20,1823
-19,20,1843
-19,20,1863
21,1,1864
20,1,1865
21,1,1866
-10,7,1873
-5,1,1874
-5,1,1875
21,1,1876
-5,2,1878
-20,18,1896
21,1,1897
-5,1,1898
21,1,1899
-19,20,1919
-18,20,1939
21,1,1940
21,1,1941
-5,1,1942
-5,1,1943
-8,5,1948
21,2,1950
21,1,1951
21,1,1952
21,1,1953
21,1,1954
21,1,1955
21,1,1956
20,1,1957
-19,20,1977
20,3,1980
-19,20,2000
-5,1,2001
-19,20,2021
-19,20,2041
-5,1,2042
21,1,2043
-19,20,2063
-19,20,2083
-5,1,2084
-19,20,2104
21,1,2105
21,1,2106
21,1,2107
21,1,2108
-18,20,2128
21,1,2129
21,1,2130
21,1,2131
-19,20,2151
20,1,2152
-18,20,2172
-5,1,2173
21,1,2174
-13,10,2184
-5,1,2185
21,1,2186
21,1,2187
21,1,2188
21,1,2189
21,1,2190
21,1,2191
-18,20,2211
-5,2,2213
-7,4,2217
-5,1,2218
21,1,2219
21,1,2220
21,1,2221
20,1,2222
-5,1,2223
-19,16,2239
-5,1,2240
21,1,2241
21,1,2242
-5,1,2243
-5,1,2244
-18,20,2264
-5,1,2265
-5,1,2266
21,1,2267
-5,1,2268
-5,1,2269
21,1,2270
-5,2,2272
-7,4,2276
21,1,2277
21,1,2278
-5,2,2280
21,1,2281
-5,1,2282
-5,1,2283
-19,20,2303
21,1,2304
-5,1,2305
-18,20,2325
-19,20,2345
21,1,2346
-19,20,2366
-5,1,2367
-5,1,2368
21,1,2369
-5,1,2370
-5,1,2371
21,1,2372
-5,1,2373
21,1,2374
-14,11,2385
-19,20,2405
-22,19,2424
21,1,2425
20,1,2426
20,1,2427
20,1,2428
21,1,2429
21,1,2430
21,1,2431
21,1,2432
-19,20,2452
-5,1,2453
21,1,2454
-19,20,2474
-19,20,2494
21,1,2495
-19,20,2515
21,1,2516
21,1,2517
21,1,2518
-5,1,2519
-5,1,2520
21,1,2521
21,1,2522
21,1,2523
-5,1,2524
21,1,2525
-19,20,2545
21,1,2546
21,1,2547
-18,20,2567
21,1,2568
21,1,2569
-5,1,2570
21,1,2571
21,1,2572
-5,2,2574
-5,1,2575
-18,20,2595
21,1,2596
-19,20,2616
21,1,2617
21,1,2618
-18,20,2638
21,1,2639
21,1,2640
20,3,2643
-19,20,2663
21,1,2664
-5,1,2665
-19,20,2685
21,1,2686
-5,2,2688
-5,1,2689
21,1,2690
-19,20,2710
-18,20,2730
21,1,2731
-19,20,2751
-6,3,2754
21,1,2755
21,1,2756
21,1,2757
-5,1,2758
21,1,2759
-19,20,2779
21,1,2780
-5,1,2781
-19,20,2801
-6,3,2804
21,1,2805
-5,2,2807
21,1,2808
-5,1,2809
-5,1,2810
-8,5,2815
21,1,2816
21,1,2817
-5,1,2818
-19,20,2838
21,1,2839
21,1,2840
-5,1,2841
21,1,2842
-5,2,2844
-5,1,2845
21,1,2846
20,1,2847
20,1,2848
-5,1,2849
21,1,2850
20,1,2851
21,1,2852
21,1,2853
21,1,2854
-11,9,2863
-5,1,2864
-5,1,2865
-19,20,2885
-5,1,2886
-5,2,2888
10,12,2900
21,1,2901
-5,1,2902
21,1,2903
-5,1,2904
-6,3,2907
19,6,2913
-18,20,2933
21,2,2935
-23,20,2955
-18,20,2975
-5,1,2976
-19,20,2996
-19,20,3016
-18,20,3036
-15,12,3048
-6,3,3051
-7,4,3055
-5,1,3056
5,20,3076
-5,1,3077
16,8,3085
21,1,3086
21,2,3088
19,4,3092
-5,2,3094
21,1,3095
-9,9,3104
-5,1,3105
20,1,3106
-18,20,3126
-18,20,3146
19,4,3150
-5,1,3151
-5,1,3152
-5,1,3153
-19,20,3173
21,1,3174
